Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
2026-09-14 14:56:23;CNC_ALU_01;302833;PHASE1_PRODUCTION;Gleb
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
Timestamp;Station_ID;Order_ID;Phase_Status;Operator_Name
2026-09-14 15:19:28;CNC_ALU_01;302833;PHASE1_PRODUCTION;Gleb
2026-09-14 15:22:48;CNC_ALU_01;302833;PHASE1_PRODUCTION;Gleb
